iter	Passed	Remaining
762	6149	1910
763	6159	1902
764	6167	1894
765	6176	1886
766	6183	1878
767	6192	1870
768	6200	1862
769	6209	1854
770	6217	1846
771	6226	1839
772	6234	1830
773	6244	1823
774	6252	1815
775	6262	1807
776	6270	1799
777	6279	1791
778	6286	1783
779	6295	1775
780	6305	1768
781	6314	1760
782	6324	1752
783	6331	1744
784	6341	1736
785	6348	1728
786	6358	1720
787	6366	1712
788	6375	1704
789	6383	1696
790	6392	1688
791	6399	1680
792	6409	1673
793	6417	1664
794	6429	1657
795	6440	1650
796	6450	1642
797	6461	1635
798	6470	1627
799	6478	1619
800	6487	1611
801	6496	1603
802	6505	1596
803	6513	1587
804	6524	1580
805	6532	1572
806	6541	1564
807	6548	1556
808	6558	1548
809	6565	1540
810	6575	1532
811	6584	1524
812	6593	1516
813	6602	1508
814	6610	1500
815	6620	1492
816	6628	1484
817	6637	1476
818	6645	1468
819	6655	1460
820	6663	1452
821	6672	1444
822	6680	1436
823	6690	1429
824	6697	1420
825	6707	1412
826	6715	1404
827	6724	1396
828	6731	1388
829	6741	1380
830	6751	1373
831	6759	1364
832	6768	1356
833	6776	1348
834	6785	1340
835	6792	1332
836	6801	1324
837	6809	1316
838	6819	1308
839	6827	1300
840	6837	1292
841	6845	1284
842	6854	1276
843	6861	1268
844	6871	1260
845	6878	1252
846	6887	1244
847	6896	1236
848	6905	1228
849	6914	1220
850	6923	1212
851	6931	1204
852	6939	1195
853	6948	1187
854	6956	1179
855	6966	1171
856	6974	1163
857	6983	1155
858	6991	1147
859	7001	1139
860	7009	1131
861	7018	1123
862	7026	1115
863	7035	1107
864	7043	1099
865	7053	1091
866	7061	1083
867	7070	1075
868	7079	1067
869	7087	1059
870	7097	1051
871	7106	1043
872	7115	1035
873	7123	1026
874	7132	1018
875	7140	1010
876	7150	1002
877	7158	994
878	7167	986
879	7175	978
880	7184	970
881	7192	962
882	7200	954
883	7208	945
884	7217	937
885	7224	929
886	7233	921
887	7240	913
888	7248	905
889	7256	896
890	7264	888
891	7271	880
892	7279	872
893	7287	864
894	7296	855
895	7304	847
896	7313	839
897	7321	831
898	7329	823
899	7336	815
900	7345	807
901	7352	798
902	7360	790
903	7368	782
904	7375	774
905	7382	766
906	7390	757
907	7398	749
908	7406	741
909	7414	733
910	7421	725
911	7430	716
912	7437	708
913	7445	700
914	7452	692
915	7460	684
916	7468	675
917	7476	667
918	7484	659
919	7493	651
920	7501	643
921	7510	635
922	7519	627
923	7528	619
924	7536	611
925	7547	603
926	7557	595
927	7565	586
928	7574	578
929	7582	570
930	7591	562
931	7599	554
932	7610	546
933	7618	538
934	7629	530
935	7637	522
936	7648	514
937	7657	506
938	7665	498
939	7676	489
940	7684	481
941	7693	473
942	7702	465
943	7712	457
944	7724	449
945	7732	441
946	7743	433
947	7751	425
948	7761	417
949	7769	408
950	7778	400
951	7787	392
952	7795	384
953	7805	376
954	7814	368
955	7825	360
956	7834	351
957	7843	343
958	7851	335
959	7861	327
960	7869	319
961	7880	311
962	7889	303
963	7897	294
964	7907	286
965	7915	278
966	7925	270
967	7935	262
968	7945	254
969	7954	246
970	7962	237
971	7971	229
972	7979	221
973	7988	213
974	7996	205
975	8007	196
976	8015	188
977	8026	180
978	8035	172
979	8043	164
980	8053	155
981	8061	147
982	8070	139
983	8078	131
984	8089	123
985	8097	114
986	8107	106
987	8116	98
988	8124	90
989	8133	82
990	8143	73
991	8154	65
992	8162	57
993	8171	49
994	8179	41
995	8190	32
996	8200	24
997	8208	16
998	8218	8
999	8226	0
