iter	Passed	Remaining
140	1595	9720
141	1606	9705
142	1616	9689
143	1627	9674
144	1637	9657
145	1648	9643
146	1659	9627
147	1669	9611
148	1680	9597
149	1691	9582
150	1701	9568
151	1712	9553
152	1723	9539
153	1733	9524
154	1744	9508
155	1754	9494
156	1766	9486
157	1776	9469
158	1787	9452
159	1797	9435
160	1807	9419
161	1817	9403
162	1828	9387
163	1838	9370
164	1848	9354
165	1858	9337
166	1868	9320
167	1878	9303
168	1889	9289
169	1899	9272
170	1909	9256
171	1919	9241
172	1929	9225
173	1939	9208
174	1950	9193
175	1960	9180
176	1970	9164
177	1980	9147
178	1991	9132
179	2001	9115
180	2011	9100
181	2021	9084
182	2031	9069
183	2041	9053
184	2051	9038
185	2061	9023
186	2071	9008
187	2081	8992
188	2091	8976
189	2102	8962
190	2112	8947
191	2122	8931
192	2132	8917
193	2142	8901
194	2152	8886
195	2162	8871
196	2173	8857
197	2183	8843
198	2193	8829
199	2203	8814
200	2213	8800
201	2223	8785
202	2234	8771
203	2244	8756
204	2253	8740
205	2264	8727
206	2274	8713
207	2284	8698
208	2294	8684
209	2304	8670
210	2314	8656
211	2325	8642
212	2335	8627
213	2345	8613
214	2355	8599
215	2365	8586
216	2375	8572
217	2385	8558
218	2396	8544
219	2406	8531
220	2416	8517
221	2426	8504
222	2436	8490
223	2447	8477
224	2457	8463
225	2467	8450
226	2477	8436
227	2487	8423
228	2497	8409
229	2507	8395
230	2517	8382
231	2528	8369
232	2538	8355
233	2548	8341
234	2558	8327
235	2568	8314
236	2578	8300
237	2588	8287
238	2601	8282
239	2611	8269
240	2621	8256
241	2631	8242
242	2641	8229
243	2651	8215
244	2661	8202
245	2671	8188
246	2681	8174
247	2691	8161
248	2701	8147
249	2711	8135
250	2722	8125
251	2733	8114
252	2744	8103
253	2755	8092
254	2766	8081
255	2776	8069
256	2787	8057
257	2797	8044
258	2807	8032
259	2817	8018
260	2827	8005
261	2837	7992
262	2847	7979
263	2857	7966
264	2867	7953
265	2877	7940
266	2887	7927
267	2897	7915
268	2907	7902
269	2918	7889
270	2928	7877
271	2938	7864
272	2948	7852
273	2958	7839
274	2968	7826
275	2978	7813
276	2988	7800
277	2998	7788
278	3009	7775
279	3019	7764
280	3029	7752
281	3040	7740
282	3050	7727
283	3060	7715
284	3070	7703
285	3080	7691
286	3090	7678
287	3100	7666
288	3111	7654
289	3121	7641
290	3131	7629
291	3141	7617
292	3151	7604
293	3161	7592
294	3171	7579
295	3181	7567
296	3191	7554
297	3201	7542
298	3212	7530
299	3222	7519
300	3232	7506
301	3242	7494
302	3252	7482
303	3262	7470
304	3273	7458
305	3283	7445
306	3293	7433
307	3303	7422
308	3313	7409
309	3323	7397
310	3333	7385
311	3343	7372
312	3353	7360
313	3364	7349
314	3374	7338
315	3384	7326
316	3394	7314
317	3405	7303
318	3415	7290
319	3425	7279
320	3435	7267
321	3445	7255
322	3455	7243
323	3466	7231
324	3476	7220
325	3486	7208
326	3496	7196
327	3506	7184
328	3516	7172
329	3526	7160
330	3536	7148
331	3546	7136
332	3557	7124
333	3567	7113
334	3577	7101
335	3587	7089
336	3597	7077
337	3607	7066
338	3617	7054
339	3628	7042
340	3638	7031
341	3648	7019
342	3658	7008
343	3669	6996
344	3679	6985
345	3689	6974
346	3699	6962
347	3709	6950
348	3719	6938
349	3730	6927
350	3740	6915
351	3750	6903
352	3760	6892
353	3770	6880
354	3780	6868
355	3790	6857
356	3800	6845
357	3810	6834
358	3820	6822
359	3831	6810
360	3841	6799
361	3851	6788
362	3862	6777
363	3871	6765
364	3882	6753
365	3892	6742
366	3902	6730
367	3912	6719
368	3922	6707
369	3932	6696
370	3942	6684
371	3952	6673
372	3963	6661
373	3973	6650
374	3983	6639
375	3993	6627
376	4003	6616
377	4013	6604
378	4023	6592
379	4033	6581
380	4044	6570
381	4054	6558
382	4063	6546
383	4074	6535
384	4084	6524
385	4094	6512
386	4103	6500
387	4114	6489
388	4123	6477
389	4134	6466
390	4144	6454
391	4154	6443
392	4164	6432
393	4174	6421
394	4184	6409
395	4195	6398
396	4205	6387
397	4214	6375
398	4225	6364
399	4235	6352
400	4245	6341
401	4255	6329
402	4265	6318
403	4275	6307
404	4285	6296
405	4295	6284
406	4305	6273
407	4315	6261
408	4325	6250
